listing id,address,latitude,longitude,price,bedrooms,bathrooms,size,availability date,housing type,laundry,parking,cats are OK - purrr,dogs are OK - wooof,furnished,no smoking,wheelchair accessible,EV charging,link,read date,last scrape date
7045409046,10445 NE 6TH DR near Marine Drive,45.598098,-122.660403,$1399,2,2,947,2019-12-27,apartment,w/d in unit,,True,,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-free-rent-1-2-month-free-with/7045409046.html,2019-12-27 14:15:29.487994,2019-12-27 15:00:15.978485
7045408868,17000 sw pacific Hwy,45.394927,-122.798078,$1190,1,1,504,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,,,,https://portland.craigslist.org/wsc/apa/d/portland-99-deposit-oh-my-1x1-luxury/7045408868.html,2019-12-27 14:15:35.583975,2019-12-27 15:00:15.978485
7044273331,84th near ne knott st,45.541510,-122.575858,$1285,2,1,940,,townhouse,w/d in unit,detached garage,,,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-great-location-townhome-2x1/7044273331.html,2019-12-27 14:15:45.954770,2019-12-27 15:00:15.978485
7045408653,65th Ave near Borland,45.376724,-122.743915,$1099,2,1,734,,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/wsc/apa/d/tualatin-looking-for-convenience-well/7045408653.html,2019-12-27 14:15:50.799022,2019-12-27 15:00:15.978485
7045408597,1964 NW Johnson St near Johnson,45.528488,-122.691766,$1195,1,1,600,2019-12-27,apartment,laundry in bldg,street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-cozy-1-bedroom-with-hometown/7045408597.html,2019-12-27 14:15:52.932482,2019-12-27 15:00:15.978485
7045408350,29697 SW Rose Lane,45.305136,-122.752926,$1509,2,2,906,2020-01-08,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clc/apa/d/wilsonville-start-the-decade-off-in/7045408350.html,2019-12-27 14:15:59.933518,2019-12-27 15:00:15.978485
7045408259,"1250 E Burnside St Portland, OR",45.514200,-122.636400,$1502,1,1,621,,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-modern-one-bedroom-apartment/7045408259.html,2019-12-27 14:16:04.080817,2019-12-27 15:00:15.978485
7045408238,"1250 E Burnside St Portland, OR",45.514200,-122.636400,$1540,1,1,621,,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-wonderful-2-bed-2-bath-located/7045408238.html,2019-12-27 14:16:10.849031,2019-12-27 15:00:15.978485
7045407890,3214 NE 62nd ave near Fourthplain,45.641800,-122.625100,$1325,2,1,1067,2019-12-27,apartment,w/d in unit,,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-stunning-upper-level-home/7045407890.html,2019-12-27 14:16:15.124469,2019-12-27 15:00:15.978485
7042177320,14900 NE 73rd Cir near Ward Street,45.675542,-122.519274,$2000,4,2,2318,,house,w/d hookups,attached garage,True,,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-beautiful-4br-25ba-house-for/7042177320.html,2019-12-27 14:16:21.183759,2019-12-27 15:00:15.978485
7042177541,3217 Grand blvd near 33rd Street,45.644888,-122.641540,$1150,2,1,800,,duplex,laundry on site,carport,True,,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-apartment-for-rent-new-paint/7042177541.html,2019-12-27 14:16:24.499963,2019-12-27 15:00:15.978485
7042492702,SE 37th Ave near SE Division St,45.504789,-122.625704,$1395,1,1,,2019-12-21,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-richmond-flats-dazzling-one/7042492702.html,2019-12-27 14:16:26.645686,2019-12-27 15:00:15.978485
7045406886,8106 SE Lake Rd,45.419877,-122.577724,$1042,2,1,657,2020-01-17,apartment,laundry in bldg,off-street parking,True,True,,,,,https://portland.craigslist.org/clc/apa/d/portland-peaceful-and-serene-quiet-657/7045406886.html,2019-12-27 14:16:31.569682,2019-12-27 15:00:15.978485
7045406797,Historic Old Town Gresham/ SE Portland/Sandy,45.503364,-122.429657,$1225,2,1,907,2020-01-17,apartment,w/d in unit,carport,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/gresham-location-location-location/7045406797.html,2019-12-27 14:16:37.173062,2019-12-27 15:00:15.978485
7045406786,800 SE 10th Ave,45.514063,-122.973967,$1345,2,1,750,2019-12-27,apartment,laundry in bldg,off-street parking,True,True,,,,,https://portland.craigslist.org/wsc/apa/d/hillsboro-huge-special-on-nice-2br-in/7045406786.html,2019-12-27 14:16:43.738842,2019-12-27 15:00:15.978485
7045405860,17000 sw pacific Hwy,45.409400,-122.801400,$1399,2,2,865,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,,,,https://portland.craigslist.org/wsc/apa/d/portland-99-deposit-bbq-on-your-private/7045405860.html,2019-12-27 14:16:49.407778,2019-12-27 15:00:15.978485
7045390488,1551 SW Taylor St,45.520167,-122.688389,$1325,0,1,537,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-hands-down-the-best-deal-in/7045390488.html,2019-12-27 14:16:56.220171,2019-12-27 15:00:15.978485
7045404841,4725 NE 18th Ave,45.557195,-122.646801,$3200,4,2,881,2019-12-26,apartment,w/d hookups,street parking,,,,True,,,https://portland.craigslist.org/wsc/apa/d/portland-4-bdrm-home-with-lots-of/7045404841.html,2019-12-27 14:17:00.911312,2019-12-27 15:00:15.978485
7045404451,100 SE Olypmia Dr.,45.635900,-122.515500,$1450,2,2,1008,2019-12-27,apartment,w/d in unit,carport,True,True,,True,,True,https://portland.craigslist.org/clk/apa/d/vancouver-new-year-new-home-call-now/7045404451.html,2019-12-27 14:17:07.059897,2019-12-27 15:00:15.978485
7045404371,3214 NE 62nd ave near Fourthplain,45.641800,-122.625100,$1425,2,1,1082,2019-12-27,apartment,w/d in unit,,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/vancouver-no-rent-until-february/7045404371.html,2019-12-27 14:17:12.058047,2019-12-27 15:00:15.978485
7045398805,405 South 2nd street,45.859857,-122.797590,$1075,1,1,,2020-01-01,apartment,laundry in bldg,off-street parking,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/saint-helens-incredible-river-views/7045398805.html,2019-12-27 14:17:15.801637,2019-12-27 15:00:15.978485
7045404163,8320 NE Sandy Blvd near NE 82nd & Sandy Blvd,45.552994,-122.577283,$1107,2,2,812,,apartment,laundry in bldg,off-street parking,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-small-pet-welcome-close-to/7045404163.html,2019-12-27 14:17:18.529375,2019-12-27 15:00:15.978485
7045404063,1850 NW Front Ave near Naito Pkwy,45.536221,-122.685542,$2395,2,2,1021,,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-enjoy-coffee-with-view-one/7045404063.html,2019-12-27 14:17:22.241403,2019-12-27 15:00:15.978485
7045403694,1580 NE 32nd St,45.534339,-122.633239,$1674,1,1,678,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-we-have-two-of-everything-club/7045403694.html,2019-12-27 14:17:25.364755,2019-12-27 15:00:15.978485
7045403494,4545 NE 125th Pl ,45.555997,-122.533130,$1275,2,1,895,2019-12-27,apartment,laundry in bldg,carport,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-great-location-amazing-floor/7045403494.html,2019-12-27 14:17:28.470563,2019-12-27 15:00:15.978485
7045403444,424 N Jessup St. #10 near MLK Blvd.,45.563899,-122.670455,$1745,2,1,1073,2019-12-27,apartment,w/d in unit,street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-now-br-in-king-neighborhood-in/7045403444.html,2019-12-27 14:17:34.903108,2019-12-27 15:00:15.978485
7045403323,1580 NE 32nd Avenue,45.534339,-122.633239,$1399,1,1,,2020-02-01,apartment,w/d in unit,attached garage,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-specious-one-bedroom-ready-for/7045403323.html,2019-12-27 14:17:39.437853,2019-12-27 15:00:15.978485
7043479976,Sw 201st near Sw jay street,37.132840,-95.785580,$1200,1,1,2900,,house,laundry in bldg,attached garage,,,True,True,,,https://portland.craigslist.org/wsc/apa/d/dearing-first-responder-roommate/7043479976.html,2019-12-27 14:17:42.820519,2019-12-27 15:00:15.978485
7045402949,SE 37th Ave near SE Division St,45.504789,-122.625704,$1275,1,1,,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-best-priced-one-bedroom-at/7045402949.html,2019-12-27 14:17:46.401832,2019-12-27 15:00:15.978485
7045402778,7642 SW 205 Terrace,45.450500,-122.865200,$2195,3,3,2344,2019-12-26,apartment,w/d in unit,attached garage,,True,,True,,,https://portland.craigslist.org/wsc/apa/d/beaverton-gorgeous-3-bdrm-home-with/7045402778.html,2019-12-27 14:17:50.448611,2019-12-27 15:00:15.978485
7045402590,8635 Southwest Maverick Terrace,45.456753,-122.822254,$1625,2,1,932,2019-12-27,apartment,,,True,True,,True,,,https://portland.craigslist.org/wsc/apa/d/beaverton-ready-now-2017-updates-with/7045402590.html,2019-12-27 14:17:53.146015,2019-12-27 15:00:15.978485
7042128037,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-cozy-home-of-your-own/7042128037.html,2019-12-27 14:17:58.894108,2019-12-27 15:00:15.978485
7045402369,Portland,45.527000,-122.685400,$1481,0,1,492,2019-12-27,apartment,w/d in unit,,True,True,,True,True,,https://portland.craigslist.org/mlt/apa/d/portland-top-floor-studio-living-youll/7045402369.html,2019-12-27 14:18:02.501300,2019-12-27 15:00:15.978485
7045402321,1738 NE Killingsworth,45.562711,-122.647545,$1295,1,1,,2019-12-26,apartment,,street parking,,,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-charming-1-bdrm-1-bath/7045402321.html,2019-12-27 14:18:07.574079,2019-12-27 15:00:15.978485
7042168260,16501 NE 15th Avenue near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,True,,https://portland.craigslist.org/clk/apa/d/ridgefield-beautiful-2x2-apt-with-large/7042168260.html,2019-12-27 14:18:12.269683,2019-12-27 15:00:15.978485
7042185325,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-stress-free-zone/7042185325.html,2019-12-27 14:18:14.768111,2019-12-27 15:00:15.978485
7045402097,6740 SW Canyon Lane near SW Canyon Road,45.505339,-122.744808,$1195,2,1,750,2019-12-26,apartment,laundry on site,off-street parking,True,True,,True,,,https://portland.craigslist.org/wsc/apa/d/portland-now-500-off-oac-2-bdrm-apt/7045402097.html,2019-12-27 14:18:19.080069,2019-12-27 15:00:15.978485
7042186526,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-stress-free-zone/7042186526.html,2019-12-27 14:18:22.039663,2019-12-27 15:00:15.978485
7045401976,8015 SE Bybee,45.472048,-122.580871,$1195,1,1,370,2019-12-26,apartment,no laundry on site,street parking,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-charming-tiny-home-on-large-lot/7045401976.html,2019-12-27 14:18:29.379975,2019-12-27 15:00:15.978485
7042179573,16501 NE 15th Avenue near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,True,,https://portland.craigslist.org/clk/apa/d/ridgefield-beautiful-2x2-apt-with-large/7042179573.html,2019-12-27 14:18:33.696818,2019-12-27 15:00:15.978485
7045401822,6740 SW Canyon Lane near SW Canyon Road,45.505339,-122.744808,$1195,2,1,750,2019-12-26,apartment,laundry on site,off-street parking,True,True,,True,,,https://portland.craigslist.org/wsc/apa/d/portland-now-500-off-2-bdrm-1-bath/7045401822.html,2019-12-27 14:18:38.039708,2019-12-27 15:00:15.978485
7042168014,16501 NE 15th Ave near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,,,https://portland.craigslist.org/clk/apa/d/ridgefield-stress-free-zone/7042168014.html,2019-12-27 14:18:42.347004,2019-12-27 15:00:15.978485
7045401538,NE Tillamook St near NE 39th Ave,45.537777,-122.622968,$1495,1,1,,2019-12-27,apartment,w/d in unit,attached garage,True,True,,True,,,https://portland.craigslist.org/mlt/apa/d/portland-corner-unit-top-floor-one/7045401538.html,2019-12-27 14:18:48.190991,2019-12-27 15:00:15.978485
7042187536,16501 NE 15th Avenue near 179th Street,45.784600,-122.693400,$1405,2,2,1041,2019-12-27,apartment,w/d in unit,off-street parking,True,True,,True,True,,https://portland.craigslist.org/clk/apa/d/ridgefield-beautiful-2x2-apt-with-large/7042187536.html,2019-12-27 14:18:52.477066,2019-12-27 15:00:15.978485
